Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,551
design__inferred_latch__count,0
design__instance__count,173766
design__instance__area,876865
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.009395753964781761
power__switching__total,0.00308684422634542
power__leakage__total,8.784477927292755e-07
power__total,0.012483476661145687
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-8.837668624841086
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27425396063748564
timing__hold__ws__corner:nom_tt_025C_1v80,0.24749736294268618
timing__setup__ws__corner:nom_tt_025C_1v80,33.40658688677801
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.247497
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,33.406586
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-9.193178034592108
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.39411497403354806
timing__hold__ws__corner:nom_ss_100C_1v60,0.6232756709383239
timing__setup__ws__corner:nom_ss_100C_1v60,17.177896924448987
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.623276
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,17.177896
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-8.636690718168879
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.22426904024214409
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1111591961052487
timing__setup__ws__corner:nom_ff_n40C_1v95,39.82515407953127
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111159
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,39.825153
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-8.626696046129323
clock__skew__worst_setup,0.2172240088178356
timing__hold__ws,0.1103904776612574
timing__setup__ws,16.597326649494477
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.11039
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,16.597326
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 880.0 1031.66
design__core__bbox,5.52 10.88 874.46 1020.0
design__io,233
design__die__area,907861
design__core__area,876865
design__instance__count__stdcell,48565
design__instance__area__stdcell,449609
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.512746
design__instance__utilization__stdcell,0.512746
design__rows,371
design__rows:unithd,371
design__sites,700819
design__sites:unithd,700819
design__instance__count__class:buffer,15
design__instance__area__class:buffer,107.603
design__instance__count__class:inverter,273
design__instance__area__class:inverter,1038.5
design__instance__count__class:sequential_cell,7194
design__instance__area__class:sequential_cell,167931
design__instance__count__class:multi_input_combinational_cell,20939
design__instance__area__class:multi_input_combinational_cell,201381
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,125201
design__instance__area__class:fill_cell,427256
design__instance__count__class:tap_cell,12495
design__instance__area__class:tap_cell,15633.7
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,2
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-9.214486323661774
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.40485349552063854
timing__hold__ws__corner:max_ss_100C_1v60,0.6249732019909852
timing__setup__ws__corner:max_ss_100C_1v60,16.597326649494477
timing__hold__tns__corner:max_ss_100C_1v60,0
timing__setup__tns__corner:max_ss_100C_1v60,0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.624973
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,16.597326
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1721830
design__violations,0
design__instance__count__class:timing_repair_buffer,5133
design__instance__area__class:timing_repair_buffer,42253
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,1341
design__instance__area__class:clock_buffer,17280.3
design__instance__count__class:clock_inverter,148
design__instance__area__class:clock_inverter,1413.86
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,19
global_route__vias,76
global_route__wirelength,2657341
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
